,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
21,0.588,0.422,4,-12.84,1,0.0434,0.472,0.00644,0.154,0.202,121.892,audio_features,10w8FMNFLL5P8aIxJS1SP4,spotify:track:10w8FMNFLL5P8aIxJS1SP4,https://api.spotify.com/v1/tracks/10w8FMNFLL5P8aIxJS1SP4,https://api.spotify.com/v1/audio-analysis/10w8FMNFLL5P8aIxJS1SP4,201944,4,Gromz,Mixed up and Confused,Two and a Half Days,46
22,0.687,0.516,7,-8.828,1,0.0256,0.63,0.00258,0.097,0.602,95.672,audio_features,6B80AhiCARP6sAYkRQXh8k,spotify:track:6B80AhiCARP6sAYkRQXh8k,https://api.spotify.com/v1/tracks/6B80AhiCARP6sAYkRQXh8k,https://api.spotify.com/v1/audio-analysis/6B80AhiCARP6sAYkRQXh8k,276651,4,Mako Road,Daiquiri,Brodie Street / Daiquiri,54
23,0.685,0.748,3,-7.558,0,0.0959,0.306,0.105,0.183,0.879,152.949,audio_features,5iAxcPoyxt0HWU5sZToqe5,spotify:track:5iAxcPoyxt0HWU5sZToqe5,https://api.spotify.com/v1/tracks/5iAxcPoyxt0HWU5sZToqe5,https://api.spotify.com/v1/audio-analysis/5iAxcPoyxt0HWU5sZToqe5,223234,4,Lime Cordiale,Robbery,14 Steps To A Better You,63
24,0.622,0.332,10,-17.594,0,0.0896,0.00905,0.0,0.0944,0.652,85.94,audio_features,4i6F4IXdZxu3NdZ1LCAdIE,spotify:track:4i6F4IXdZxu3NdZ1LCAdIE,https://api.spotify.com/v1/tracks/4i6F4IXdZxu3NdZ1LCAdIE,https://api.spotify.com/v1/audio-analysis/4i6F4IXdZxu3NdZ1LCAdIE,234000,4,The Butlers,Are You Sure,The Halfway House,37
25,0.594,0.273,5,-9.402,1,0.0291,0.873,0.0,0.0895,0.362,131.851,audio_features,5uBK8Ap1BCEc4GgMcEjeic,spotify:track:5uBK8Ap1BCEc4GgMcEjeic,https://api.spotify.com/v1/tracks/5uBK8Ap1BCEc4GgMcEjeic,https://api.spotify.com/v1/audio-analysis/5uBK8Ap1BCEc4GgMcEjeic,252300,4,Sticky Fingers,Rum Rage,Land Of Pleasure,66
26,0.757,0.629,10,-8.376,0,0.0685,0.589,0.285,0.195,0.681,73.007,audio_features,1e4VI5FvKgh1BYWhxMINnl,spotify:track:1e4VI5FvKgh1BYWhxMINnl,https://api.spotify.com/v1/tracks/1e4VI5FvKgh1BYWhxMINnl,https://api.spotify.com/v1/audio-analysis/1e4VI5FvKgh1BYWhxMINnl,226720,4,Bootleg Rascal,Overflow,Psychotica,55
27,0.442,0.872,2,-5.072,1,0.123,0.00025,1.74e-05,0.0602,0.568,159.867,audio_features,0Hrd6CSafHHqKptyFppmqH,spotify:track:0Hrd6CSafHHqKptyFppmqH,https://api.spotify.com/v1/tracks/0Hrd6CSafHHqKptyFppmqH,https://api.spotify.com/v1/audio-analysis/0Hrd6CSafHHqKptyFppmqH,167773,4,Two Door Cinema Club,Undercover Martyn,Tourist History,65
28,0.66,0.67,11,-7.354,1,0.0276,0.15,0.0022,0.068,0.59,107.328,audio_features,7MREuf6FizaaCY2W35jPwd,spotify:track:7MREuf6FizaaCY2W35jPwd,https://api.spotify.com/v1/tracks/7MREuf6FizaaCY2W35jPwd,https://api.spotify.com/v1/audio-analysis/7MREuf6FizaaCY2W35jPwd,248972,4,Mako Road,Brodie Street,Brodie Street / Daiquiri,47
29,0.76,0.719,9,-7.21,1,0.0492,0.455,1.66e-05,0.121,0.633,93.984,audio_features,537h32EdpEBH1XEJIGp9r8,spotify:track:537h32EdpEBH1XEJIGp9r8,https://api.spotify.com/v1/tracks/537h32EdpEBH1XEJIGp9r8,https://api.spotify.com/v1/audio-analysis/537h32EdpEBH1XEJIGp9r8,164760,4,Bootleg Rascal,Psychotica,Psychotica,48
30,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007,audio_features,7yNf9YjeO5JXUE3JEBgnYc,spotify:track:7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/tracks/7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/audio-analysis/7yNf9YjeO5JXUE3JEBgnYc,97960,4,Dominic Fike,Babydoll,"Don't Forget About Me, Demos",68
31,0.648,0.568,9,-4.992,0,0.0278,0.0132,0.0,0.0962,0.543,119.048,audio_features,7mhznv7CcII49UthEbZhYE,spotify:track:7mhznv7CcII49UthEbZhYE,https://api.spotify.com/v1/tracks/7mhznv7CcII49UthEbZhYE,https://api.spotify.com/v1/audio-analysis/7mhznv7CcII49UthEbZhYE,392885,4,Ocean Alley,Partner In Crime,Lost Tropics,55
32,0.487,0.465,4,-9.823,0,0.231,0.139,2.52e-06,0.0977,0.581,85.783,audio_features,1E1R5fR8ebAcvSX8pAwVHU,spotify:track:1E1R5fR8ebAcvSX8pAwVHU,https://api.spotify.com/v1/tracks/1E1R5fR8ebAcvSX8pAwVHU,https://api.spotify.com/v1/audio-analysis/1E1R5fR8ebAcvSX8pAwVHU,279590,4,Parrotfish,Miami,Miami,40
