,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
56,0.827,0.769,7,-4.058,1,0.126,0.209,9.54e-05,0.091,0.491,93.986,audio_features,556l9P7WVZVyYUBjT1YFTT,spotify:track:556l9P7WVZVyYUBjT1YFTT,https://api.spotify.com/v1/tracks/556l9P7WVZVyYUBjT1YFTT,https://api.spotify.com/v1/audio-analysis/556l9P7WVZVyYUBjT1YFTT,164681,4,Whethan,When I'm Down,When I'm Down,68
57,0.482,0.769,6,-4.473,1,0.0549,0.0343,0.00498,0.0953,0.427,149.69,audio_features,1wfZdPy5FRWsdWaAEOG0Ml,spotify:track:1wfZdPy5FRWsdWaAEOG0Ml,https://api.spotify.com/v1/tracks/1wfZdPy5FRWsdWaAEOG0Ml,https://api.spotify.com/v1/audio-analysis/1wfZdPy5FRWsdWaAEOG0Ml,267200,4,Flume,Say It - Illenium Remix,Skin: The Remixes,60
58,0.594,0.815,8,-3.47,1,0.0423,0.367,0.0,0.0948,0.339,137.933,audio_features,5ZahQIsfOhgRoLS2UpUN7J,spotify:track:5ZahQIsfOhgRoLS2UpUN7J,https://api.spotify.com/v1/tracks/5ZahQIsfOhgRoLS2UpUN7J,https://api.spotify.com/v1/audio-analysis/5ZahQIsfOhgRoLS2UpUN7J,236522,4,RL Grime,Take It Away,NOVA,57
59,0.589,0.934,0,-1.432,1,0.121,0.00288,0.0,0.0918,0.586,136.922,audio_features,19eEhd1hR5TPAcpNrhdwkN,spotify:track:19eEhd1hR5TPAcpNrhdwkN,https://api.spotify.com/v1/tracks/19eEhd1hR5TPAcpNrhdwkN,https://api.spotify.com/v1/audio-analysis/19eEhd1hR5TPAcpNrhdwkN,215474,4,Big Gigantic,Miss Primetime (feat. Pell),Brighter Future,58
60,0.792,0.717,0,-4.759,0,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,audio_features,1A8j067qyiNwQnZT0bzUpZ,spotify:track:1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/tracks/1A8j067qyiNwQnZT0bzUpZ,https://api.spotify.com/v1/audio-analysis/1A8j067qyiNwQnZT0bzUpZ,195547,4,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),Layers,77
61,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/tracks/3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/audio-analysis/3HWzoMvoF3TQfYg4UPszDq,173325,4,Lizzo,Truth Hurts,Cuz I Love You (Super Deluxe),79
62,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961,audio_features,3MOECVkNshqHYTPt5DZcdN,spotify:track:3MOECVkNshqHYTPt5DZcdN,https://api.spotify.com/v1/tracks/3MOECVkNshqHYTPt5DZcdN,https://api.spotify.com/v1/audio-analysis/3MOECVkNshqHYTPt5DZcdN,211975,4,Deorro,Five More Hours - Deorro x Chris Brown,Good Evening,72
63,0.831,0.32,7,-7.916,1,0.143,0.299,0.0,0.0757,0.319,80.935,audio_features,0G2wimhVoDYXbQ6csDxtSf,spotify:track:0G2wimhVoDYXbQ6csDxtSf,https://api.spotify.com/v1/tracks/0G2wimhVoDYXbQ6csDxtSf,https://api.spotify.com/v1/audio-analysis/0G2wimhVoDYXbQ6csDxtSf,217778,4,Abhi The Nomad,Sex n' Drugs,Marbled,65
64,0.613,0.857,2,-7.003,1,0.0476,0.513,0.00105,0.268,0.32,131.962,audio_features,5YHMaDiaGGYs5QyJ2CBDXJ,spotify:track:5YHMaDiaGGYs5QyJ2CBDXJ,https://api.spotify.com/v1/tracks/5YHMaDiaGGYs5QyJ2CBDXJ,https://api.spotify.com/v1/audio-analysis/5YHMaDiaGGYs5QyJ2CBDXJ,210341,4,Abhi The Nomad,Floors,Where Are My Friends,57
65,0.805,0.833,1,-6.73,0,0.12,0.0859,0.0,0.0578,0.703,109.076,audio_features,7c3SbTuufigBWURcICnAWy,spotify:track:7c3SbTuufigBWURcICnAWy,https://api.spotify.com/v1/tracks/7c3SbTuufigBWURcICnAWy,https://api.spotify.com/v1/audio-analysis/7c3SbTuufigBWURcICnAWy,268400,4,Anderson .Paak,Tints (feat. Kendrick Lamar),Oxnard,62
