,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
22,0.668,0.739,4,-4.919,1,0.0308,0.0383,0.0,0.13,0.571,131.918,audio_features,6Vecwo7AHst9V2CE3kmwr0,spotify:track:6Vecwo7AHst9V2CE3kmwr0,https://api.spotify.com/v1/tracks/6Vecwo7AHst9V2CE3kmwr0,https://api.spotify.com/v1/audio-analysis/6Vecwo7AHst9V2CE3kmwr0,231467,4,John Mayer,No Such Thing,Room For Squares,65
23,0.765,0.535,0,-7.229,1,0.0265,0.22,2.55e-05,0.104,0.548,105.019,audio_features,5eWOsyHHic4vJP3LjTVhqv,spotify:track:5eWOsyHHic4vJP3LjTVhqv,https://api.spotify.com/v1/tracks/5eWOsyHHic4vJP3LjTVhqv,https://api.spotify.com/v1/audio-analysis/5eWOsyHHic4vJP3LjTVhqv,183720,4,Jack Johnson,"Sitting, Waiting, Wishing",In Between Dreams,64
24,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,audio_features,5ihS6UUlyQAfmp48eSkxuQ,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,https://api.spotify.com/v1/tracks/5ihS6UUlyQAfmp48eSkxuQ,https://api.spotify.com/v1/audio-analysis/5ihS6UUlyQAfmp48eSkxuQ,199493,4,Fleetwood Mac,Landslide,Fleetwood Mac,80
25,0.734,0.415,1,-8.593,0,0.0305,0.559,0.0,0.0918,0.364,97.954,audio_features,1sMi8ywnrNKysixM34zH9W,spotify:track:1sMi8ywnrNKysixM34zH9W,https://api.spotify.com/v1/tracks/1sMi8ywnrNKysixM34zH9W,https://api.spotify.com/v1/audio-analysis/1sMi8ywnrNKysixM34zH9W,137195,4,Bryce Vine,La La Land - Acoustic,La La Land EP,66
26,0.523,0.833,7,-4.374,0,0.0405,0.00387,0.000339,0.0841,0.482,115.975,audio_features,59P1nrdEImkAKa1nyW9X2e,spotify:track:59P1nrdEImkAKa1nyW9X2e,https://api.spotify.com/v1/tracks/59P1nrdEImkAKa1nyW9X2e,https://api.spotify.com/v1/audio-analysis/59P1nrdEImkAKa1nyW9X2e,330760,4,The War On Drugs,Pain,A Deeper Understanding,59
27,0.548,0.444,3,-9.4,1,0.0384,0.866,0.0,0.134,0.62,169.917,audio_features,14e46mURUUwB3i2vTe1gFz,spotify:track:14e46mURUUwB3i2vTe1gFz,https://api.spotify.com/v1/tracks/14e46mURUUwB3i2vTe1gFz,https://api.spotify.com/v1/audio-analysis/14e46mURUUwB3i2vTe1gFz,186133,4,Mt. Joy,Astrovan,Mt. Joy,64
28,0.541,0.675,10,-6.136,1,0.192,0.446,0.0,0.107,0.686,91.09,audio_features,6n6EXIwLtNwe4u4CFzENYm,spotify:track:6n6EXIwLtNwe4u4CFzENYm,https://api.spotify.com/v1/tracks/6n6EXIwLtNwe4u4CFzENYm,https://api.spotify.com/v1/audio-analysis/6n6EXIwLtNwe4u4CFzENYm,246920,4,Dispatch,The General,Bang Bang,61
29,0.464,0.428,9,-13.303,1,0.0822,0.904,0.0991,0.362,0.466,101.582,audio_features,6jeWgaprnGyAsRhUcNuZKX,spotify:track:6jeWgaprnGyAsRhUcNuZKX,https://api.spotify.com/v1/tracks/6jeWgaprnGyAsRhUcNuZKX,https://api.spotify.com/v1/audio-analysis/6jeWgaprnGyAsRhUcNuZKX,159320,3,The Maccabees,Toothpaste Kisses,Colour It In,56
30,0.524,0.422,8,-8.509,0,0.0272,0.71,0.00068,0.101,0.225,97.91,audio_features,03CMUlyOZzrNXJnb8Vzm4l,spotify:track:03CMUlyOZzrNXJnb8Vzm4l,https://api.spotify.com/v1/tracks/03CMUlyOZzrNXJnb8Vzm4l,https://api.spotify.com/v1/audio-analysis/03CMUlyOZzrNXJnb8Vzm4l,265773,4,Fleet Foxes,Blue Ridge Mountains,Fleet Foxes,57
31,0.616,0.41,1,-8.523,1,0.0413,0.732,0.0,0.123,0.324,129.498,audio_features,0QCuMBeqdWkwFUTO1WlAjH,spotify:track:0QCuMBeqdWkwFUTO1WlAjH,https://api.spotify.com/v1/tracks/0QCuMBeqdWkwFUTO1WlAjH,https://api.spotify.com/v1/audio-analysis/0QCuMBeqdWkwFUTO1WlAjH,99227,4,The Kooks,Seaside,Inside In / Inside Out,48
32,0.653,0.76,11,-6.086,1,0.0479,0.475,0.000129,0.0917,0.6,98.008,audio_features,39exKIvycQDgs4T6uXdyu0,spotify:track:39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/tracks/39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/audio-analysis/39exKIvycQDgs4T6uXdyu0,308733,4,Vampire Weekend,Harmony Hall,Father of the Bride,65
33,0.483,0.486,0,-11.062,1,0.0434,0.753,0.00479,0.134,0.466,92.048,audio_features,6255IIBwKySv6RYrOeHfQh,spotify:track:6255IIBwKySv6RYrOeHfQh,https://api.spotify.com/v1/tracks/6255IIBwKySv6RYrOeHfQh,https://api.spotify.com/v1/audio-analysis/6255IIBwKySv6RYrOeHfQh,193049,4,Caamp,All the Debts I Owe,Caamp,65
34,0.615,0.488,1,-8.55,1,0.0279,0.3,0.00248,0.12,0.416,92.554,audio_features,0CLgeZsYy6kUPK7wjQVSwW,spotify:track:0CLgeZsYy6kUPK7wjQVSwW,https://api.spotify.com/v1/tracks/0CLgeZsYy6kUPK7wjQVSwW,https://api.spotify.com/v1/audio-analysis/0CLgeZsYy6kUPK7wjQVSwW,161152,4,Arts Fishing Club,Tupelo Honey,Human - I,34
35,0.82,0.564,11,-5.497,1,0.0397,0.236,0.0,0.112,0.704,119.985,audio_features,1mupwOlwPPnX76edNnu2H1,spotify:track:1mupwOlwPPnX76edNnu2H1,https://api.spotify.com/v1/tracks/1mupwOlwPPnX76edNnu2H1,https://api.spotify.com/v1/audio-analysis/1mupwOlwPPnX76edNnu2H1,236808,4,Lime Cordiale,Waking Up Easy,Waking Up Easy,59
36,0.68,0.34,6,-6.985,1,0.115,0.56,0.0021,0.0705,0.391,131.353,audio_features,1I9GllIh1R3EMvTFT5Tfn7,spotify:track:1I9GllIh1R3EMvTFT5Tfn7,https://api.spotify.com/v1/tracks/1I9GllIh1R3EMvTFT5Tfn7,https://api.spotify.com/v1/audio-analysis/1I9GllIh1R3EMvTFT5Tfn7,186713,3,Bruno Major,Fair-Weather Friend,A Song For Every Moon,62
37,0.806,0.362,7,-10.381,1,0.0345,0.535,0.045,0.111,0.42,127.502,audio_features,5unXHHcSQLGO19RuVqZB6d,spotify:track:5unXHHcSQLGO19RuVqZB6d,https://api.spotify.com/v1/tracks/5unXHHcSQLGO19RuVqZB6d,https://api.spotify.com/v1/audio-analysis/5unXHHcSQLGO19RuVqZB6d,235427,4,Bruno Major,The Most Beautiful Thing,To Let A Good Thing Die,67
