,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
185,0.851,0.787,11,-4.552,0,0.0636,0.193,0.0,0.31,0.85,115.995,audio_features,6RrHDxkgLwNANildGqax05,spotify:track:6RrHDxkgLwNANildGqax05,https://api.spotify.com/v1/tracks/6RrHDxkgLwNANildGqax05,https://api.spotify.com/v1/audio-analysis/6RrHDxkgLwNANildGqax05,169326,4,Max Frost,Money Problems,Gold Rush,38
186,0.623,0.647,8,-5.438,1,0.04,0.00122,0.0,0.354,0.522,107.987,audio_features,7hpJ9tATWb2vztlq99hERP,spotify:track:7hpJ9tATWb2vztlq99hERP,https://api.spotify.com/v1/tracks/7hpJ9tATWb2vztlq99hERP,https://api.spotify.com/v1/audio-analysis/7hpJ9tATWb2vztlq99hERP,185787,4,Conan Gray,Maniac,Maniac,18
187,0.456,0.924,10,-4.378,1,0.0595,0.067,0.0,0.126,0.505,150.972,audio_features,0nobr3bpEbLBCkHpLCo3ZG,spotify:track:0nobr3bpEbLBCkHpLCo3ZG,https://api.spotify.com/v1/tracks/0nobr3bpEbLBCkHpLCo3ZG,https://api.spotify.com/v1/audio-analysis/0nobr3bpEbLBCkHpLCo3ZG,195863,3,Judah & the Lion,Over my head,Pep Talks,55
188,0.743,0.683,5,-4.606,0,0.201,0.0713,0.0,0.15,0.926,115.033,audio_features,0rzWENXdfcLTgyt5DByGTy,spotify:track:0rzWENXdfcLTgyt5DByGTy,https://api.spotify.com/v1/tracks/0rzWENXdfcLTgyt5DByGTy,https://api.spotify.com/v1/audio-analysis/0rzWENXdfcLTgyt5DByGTy,135521,4,JAWNY,Honeypie,Honeypie,77
189,0.607,0.708,9,-7.428,1,0.0539,0.377,0.0,0.294,0.551,97.005,audio_features,5sCvipEhpAhVhu3K6kzm1P,spotify:track:5sCvipEhpAhVhu3K6kzm1P,https://api.spotify.com/v1/tracks/5sCvipEhpAhVhu3K6kzm1P,https://api.spotify.com/v1/audio-analysis/5sCvipEhpAhVhu3K6kzm1P,163690,4,The Band CAMINO,2 / 14,My Thoughts on You,60
190,0.425,0.625,9,-6.863,1,0.0339,0.0188,9.44e-05,0.118,0.518,200.631,audio_features,3ernkvxpkWap60SeadSqGL,spotify:track:3ernkvxpkWap60SeadSqGL,https://api.spotify.com/v1/tracks/3ernkvxpkWap60SeadSqGL,https://api.spotify.com/v1/audio-analysis/3ernkvxpkWap60SeadSqGL,177625,4,Oliver Tree,Cash Machine,Cash Machine,36
191,0.592,0.728,7,-6.342,0,0.205,0.351,1.03e-05,0.459,0.395,62.966,audio_features,0zms6rKU9lh6BbIrp1gDcZ,spotify:track:0zms6rKU9lh6BbIrp1gDcZ,https://api.spotify.com/v1/tracks/0zms6rKU9lh6BbIrp1gDcZ,https://api.spotify.com/v1/audio-analysis/0zms6rKU9lh6BbIrp1gDcZ,199056,4,half•alive,Aawake At Night,3,59
192,0.656,0.741,0,-6.135,1,0.0505,0.0307,0.000147,0.0709,0.549,82.988,audio_features,2VgQLPaAPaJRIXeL0FIW2q,spotify:track:2VgQLPaAPaJRIXeL0FIW2q,https://api.spotify.com/v1/tracks/2VgQLPaAPaJRIXeL0FIW2q,https://api.spotify.com/v1/audio-analysis/2VgQLPaAPaJRIXeL0FIW2q,186946,4,half•alive,The Fall,3,67
193,0.779,0.516,10,-6.467,0,0.0521,0.148,0.0,0.0492,0.715,120.026,audio_features,48XkVAagIoQHCsOlJtXUd5,spotify:track:48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/tracks/48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/audio-analysis/48XkVAagIoQHCsOlJtXUd5,247787,4,half•alive,still feel.,"Now, Not Yet",69
194,0.501,0.882,9,-3.75,0,0.0989,0.00266,0.00103,0.26,0.224,72.976,audio_features,0wF3Pa0qubuPHW78XYKTd9,spotify:track:0wF3Pa0qubuPHW78XYKTd9,https://api.spotify.com/v1/tracks/0wF3Pa0qubuPHW78XYKTd9,https://api.spotify.com/v1/audio-analysis/0wF3Pa0qubuPHW78XYKTd9,255776,4,Big Gigantic,Free Your Mind,Free Your Mind,40
